[1, x, 10, 1]===[1,0,0]===[4.076593]===[404621]
[2, x, 10, 1]===[1,0,0]===[8.141646]===[805900]
[3, x, 10, 1]===[0,0,1]===[12.201941]===[1205617]
[4, x, 10, 1]===[0,0,1]===[16.186998]===[1599743]
[5, x, 10, 1]===[0,1,0]===[20.292042]===[2008174]
[6, x, 10, 1]===[0,1,0]===[24.234496]===[2402312]
[7, x, 10, 1]===[0,0,1]===[28.470787]===[2825833]
[8, x, 10, 1]===[0,0,1]===[32.370003]===[3210464]
[9, x, 10, 1]===[0,0,1]===[36.344288]===[3613312]
[10, x, 10, 1]===[0,0,1]===[40.413999]===[4011510]
[11, x, 10, 1]===[1,0,0]===[44.342917]===[4407896]
[12, x, 10, 1]===[1,0,0]===[48.568416]===[4815600]
[13, x, 10, 1]===[0,0,1]===[52.726669]===[5232052]
[14, x, 10, 1]===[0,0,1]===[57.237984]===[5672216]
[15, x, 10, 1]===[0,0,1]===[60.299117]===[6000464]
[16, x, 10, 1]===[0,0,1]===[64.587537]===[6421511]
[17, x, 10, 1]===[0,0,1]===[68.360159]===[6815601]
[18, x, 10, 1]===[0,0,1]===[72.017404]===[7178219]
[19, x, 10, 1]===[1,0,0]===[76.868389]===[7619933]
[20, x, 10, 1]===[0,1,0]===[80.995944]===[8066541]
[21, x, 10, 1]===[1,0,0]===[85.158044]===[8456587]
[22, x, 10, 1]===[1,0,0]===[88.926612]===[8838899]
[23, x, 10, 1]===[0,1,0]===[93.459944]===[9249609]
[24, x, 10, 1]===[0,0,1]===[96.866659]===[9625596]
[25, x, 10, 1]===[0,0,1]===[100.988359]===[10022288]
[26, x, 10, 1]===[0,1,0]===[104.720982]===[10418592]
[27, x, 10, 1]===[0,0,1]===[108.829559]===[10827858]
[28, x, 10, 1]===[0,1,0]===[113.076725]===[11245767]
[29, x, 10, 1]===[0,0,1]===[117.663695]===[11685908]
[30, x, 10, 1]===[0,0,1]===[121.626981]===[12089695]
[31, x, 10, 1]===[0,0,1]===[125.341002]===[12464769]
[32, x, 10, 1]===[0,0,1]===[128.813244]===[12808886]
[33, x, 10, 1]===[0,0,1]===[133.334993]===[13238161]
[34, x, 10, 1]===[0,0,1]===[137.108190]===[13627348]
[35, x, 10, 1]===[1,0,0]===[140.672409]===[14015278]
[36, x, 10, 1]===[0,0,1]===[144.951035]===[14401430]
[37, x, 10, 1]===[1,0,0]===[148.833768]===[14805001]
[38, x, 10, 1]===[1,0,0]===[153.110368]===[15241531]
[39, x, 10, 1]===[1,0,0]===[157.364369]===[15687541]
[40, x, 10, 1]===[0,1,0]===[161.124348]===[16019160]
[41, x, 10, 1]===[0,0,1]===[165.408101]===[16469796]
[42, x, 10, 1]===[0,1,0]===[169.406149]===[16852763]
[43, x, 10, 1]===[1,0,0]===[173.747941]===[17237360]
[44, x, 10, 1]===[0,0,1]===[179.018952]===[17738055]
[45, x, 10, 1]===[0,1,0]===[182.990619]===[18115477]
[46, x, 10, 1]===[0,0,1]===[186.281134]===[18531077]
[47, x, 10, 1]===[1,0,0]===[189.620799]===[18820961]
[48, x, 10, 1]===[0,1,0]===[193.235687]===[19218563]
[49, x, 10, 1]===[0,0,1]===[197.883656]===[19656254]
[50, x, 10, 1]===[0,1,0]===[208.856964]===[20110121]
